MOR tags,ID,DCOI,FORM,EXAMPLES,
n:m/f-SG-BAS-STAN,[T101],"N(soort,ev,basis,zijd,stan)",lemma,"die stoel, deze muziek, de filter",
n:o-SG-BAS-STAN,[T102],"N(soort,ev,basis,onz,stan)",lemma,"het kind, ons huis, het filter",
n:o-SG-DIM-STAN,[T103],"N(soort,ev,dim,onz,stan)",lemma,"dit stoeltje, op ’t nippertje",
n-SG-BAS-POSS,[T104],"N(soort,ev,basis,gen)",lemma,"’s avonds, de heer des huizes",
n-SG-DIM-POSS,[T105],"N(soort,ev,dim,gen)",lemma,vadertjes pijp,
n-SG-BAS-DAT,[T106],"N(soort,ev,basis,dat)",lemma,"ter plaatse, heden ten dage",
n-PL-BAS,[T107],"N(soort,mv,basis)",lemma,"stoelen, kinderen, hersenen",
n-PL-DIM,[T108],"N(soort,mv,dim)",lemma,"stoeltjes, huisjes, hersentjes",
n:prop:m/f-SG-BAS-STAN,[T109],"N(eigen,ev,basis,zijd,stan)",lemma,"de Noordzee, de Kemmelberg, Karel",
n:prop:o-SG-BAS-STAN,[T110],"N(eigen,ev,basis,onz,stan)",lemma,"het Hageland, het Nederlands",
n:prop:o-SG-DIM-STAN,[T111],"N(eigen,ev,dim,onz,stan)",lemma,het slimme Kareltje,
n:prop-SG-BAS-POSS,[T112],"N(eigen,ev,basis,gen)",lemma,"des Heren, Hagelands trots",
n:prop-SG-DIM-POSS,[T113],"N(eigen,ev,dim,gen)",lemma,Kareltjes fiets,
n:prop-SG-BAS-DAT,[T114],"N(eigen,ev,basis,dat)",lemma,wat den Here toekomt,
n:prop-PL-BAS,[T115],"N(eigen,mv,basis)",lemma,"de Ardennen, de Middeleeuwen",
n:prop-PL-DIM,[T116],"N(eigen,mv,dim)",lemma,de Maatjes,
n:m/f/o-SG-BAS-STAN,[U117],"N(soort,ev,basis,genus,stan)",lemma,"een riool, geen filter",
n:prop:m/f/o-SG-BAS-STAN,[U118],"N(eigen,ev,basis,genus,stan)",lemma,"Linux, Esselte",
adj-PRE-BAS-Z,[T201],"ADJ(prenom,basis,zonder)",lemma,"een mooi huis, een houten pot",
adj-PRE-BAS-E-STAN,[T202],"ADJ(prenom,basis,met-e,stan)",lemma,"mooie huizen, een grote pot",
adj-PRE-BAS-E-BIJZ,[T203],"ADJ(prenom,basis,met-e,bijz)",lemma,"zaliger gedachtenis, van goeden huize",
adj-PRE-CP-Z,[T204],"ADJ(prenom,comp,zonder)",lemma,een mooier huis,
